Lvl - 0; Score - 0; Time - 3
Lvl - 0; Score - 0; Time - 2
Lvl - 2; Score - 3900; Time - 5:49

Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:3
Lvl - 0; Score - 0; Time - 0:3
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:6
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:15
Lvl - 0; Score - 0; Time - 0:4
Lvl - 0; Score - 0; Time - 0:17
Lvl - 0; Score - 0; Time - 0:6
Lvl - 0; Score - 0; Time - 0:20
Lvl - 0; Score - 300; Time - 0:48
Lvl - 0; Score - 0; Time - 0:15
Lvl - 0; Score - 0; Time - 0:5
Lvl - 0; Score - 200; Time - 2:5
Lvl - 0; Score - 200; Time - 2:5
Lvl - 0; Score - 0; Time - 0:5
Lvl - 0; Score - 100; Time - 0:8
Lvl - 0; Score - 0; Time - 0:20
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:1
Lvl - 0; Score - 0; Time - 0:1
Lvl - 0; Score - 0; Time - 0:11
Lvl - 0; Score - 0; Time - 0:11
Lvl - 0; Score - 0; Time - 0:4
Lvl - 0; Score - 0; Time - 0:1
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:1
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:1
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:11
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:1
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:3
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:6
Lvl - 0; Score - 0; Time - 0:6
Lvl - 0; Score - 0; Time - 0:7
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:4
Lvl - 0; Score - 0; Time - 0:10
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:21
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:37
Lvl - 0; Score - 0; Time - 0:40
Lvl - 0; Score - 0; Time - 0:3
Lvl - 1; Score - 2300; Time - 3:46
Lvl - 1; Score - 2300; Time - 3:46
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:1
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:1
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:3
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:12
Lvl - 0; Score - 0; Time - 0:9
Lvl - 0; Score - 0; Time - 0:8
Lvl - 0; Score - 0; Time - 0:13
Lvl - 0; Score - 0; Time - 0:0
Lvl - 0; Score - 0; Time - 0:9
Lvl - 0; Score - 0; Time - 0:17
Lvl - 0; Score - 0; Time - 0:53
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:3
Lvl - 0; Score - 0; Time - 0:2
Lvl - 0; Score - 0; Time - 0:1
